place_id,name,address,rating,review_count_current,business_status_search,lat,lng,photo_reference,review_count_prior,confirmed_name,business_status,website_url,website_reachable,last_modified,staleness_days,account_id,license_issued,license_expires,business_type,years_in_operation,months_until_lease_expires,owner_occupied,has_sba_loan,cuisine_cohort,risk_score,risk_tier,signal_years_in_operation,signal_lease_expiry,signal_review_decline,signal_website_staleness,signal_no_sba_enrollment,signal_renting,next_step_city_econ_dev,next_step_community_org,next_step_buyer,next_step_owner,next_step_high_school_program,needs_digital_refresh
ChIJjdsK0pm_j4ARP9fW5JifNuY,Dino's Family Restaurant,"36930 Fremont Boulevard, Fremont",4.5,1025.0,OPERATIONAL,37.5612088,-122.0121845,AWCwydjSo4mGbPRf-TIQa2SefhyjpcShoIfs2L5BWNE2C3Ox3buQ2CqHHtpcZBX2ZUptmf8ygGc0hX8kYy6WEa_8al_2zYo6bB8d64_pYuQB1InBWoVeIpyQvSjBOM1J6Ear7BrE6NTu8EgGXe1PMosTCvPJAmW_lwfQMlVZs5lLT9UH_JHMU4Il6_HDnZiO44Nka8wyUXJkRnkCrpiLNWHunpSoW74SZHNMa2H952beKzp9TQrDld5V1Igw82ldHDZ-AEOnjCb_rIsNc4Ms-SQE7q1-n21kqwxT-a7rKofcwZ1hCU-8bg_fjYXnuOfTcgITtImH62Y7u9HC4-27X3s8nGWYZo_e8WNhAdnXp7LqSgFo9gdpZEhFIEULS8jPOY8yE-TBrOeLXQ0q7k_dNB8Kb6Jr9tpnbgAl_sLN-vjFEV6GmDQtlSaBwQOFCHQJYK56ZKEPyZHMTCA4gVPF2ZL-n8DkEn131rlEe2TYFpTiyGIGTm97ty1zjgtp-qVybyvcuAIgALpPYNJgTlEX5_4h391mQWErJb3okIBC3IILgmdVRPiHNUOmw9pkzd3OO0rw61yzbwhWtYqXwwnlI4jcMpKDRgIn7jGk4H8y_whm0tmQUpBR5iUeHbY9lGcfEqrnMfLuNB_k,,Dino's Family Restaurant,OPERATIONAL,http://dinos-family-restaurant.local-cafes.com/,True,,,56130.0,1982-12-06,2027-03-31,Restaurant,43.65753424657535,,,False,Other / American,62.0,high,1.0,0.3,0.3,0.8,1.0,0.3,"Worth a call soon. Flagged for long-tenured, no visible succession plan, not enrolled in any SBA/transition program, and facade/succession grant outreach, SCORE mentorship & SBA transition planning is probably the right fit.","Dino's Family Restaurant is high-risk and hasn't touched a transition program yet. Get them talking to SCORE or the county SBDC now, not after they've already put up a closing sign.",,"Your site or listing hasn't been touched in a while. The city runs a free program for updated photos and a basic refresh. No cost, just say the word.","Could use some help online: new photos, an Instagram, maybe a simple site. Good fit for a student looking for service hours.",True
ChIJWag3ra3Bj4ARdLvl16ROQvQ,Papillon Restaurant,"37296 Mission Boulevard, Fremont",4.4,679.0,OPERATIONAL,37.57920620000001,-121.9796993,AWCwydgiWLwzDOwZ32h9z5CWuS6zFiSftajmsYtvw5gVNxBfsKeiya2Dnhr9VLp1E4pT6-jx0w3Hx23YhH0e8lyhKPAriUppVeuRDx_AJsmpWCxQ_p0lqDbiOMm-2bVNmlUk9X5_bUZ81CIajZCOzqsYxClq5OB1INSvODbT3fggzBQsmbTTe2r5owBAgVGS_aKdqUDLDLo-FJhapJD1ZUuXQJTpsW0UpHYbWFsYybOj3HQv03Rl_UvpnGFntREuXzoARBmu93nbqnujzEjeqG5UzeVZxiCB0gGDX3cVFTxv5ZQ2sOZuZufTEicSXJejWOx59Bnu5BtW_7QyCISwFKqQXBc9WcX-uOiZQoAuSd5OVgp-rdXpQP_wyCjmTSlpHLnQn8U4wN_MJLZQK8g1--BYC76uN42w428yGW_4qN9ud626my0BbNAbRRP6qAtpi-CdNjZCvxfdaJuReWpi13wfjdnnzy6zg8buOqI_-rrQVL26nSr5TD6b_TZM0jTESZ_VZjHlS8z7wWHzQQSiP3f1znNqzkbxe440f2OjFHL5OE9vCPZVNw6jCKn_f_ESgPoXBsiRMRBQZ9Vm5LVnAu0h6AuVQG451_TcFwWhDcRDWwGTSZ1IWxJJy0VhsA1bX51ZmyCT3w,,Papillon Restaurant,OPERATIONAL,http://www.papillonrestaurant.com/,True,,,7165.0,1982-12-06,2026-12-31,Restaurant,43.65753424657535,,,False,Other / American,62.0,high,1.0,0.3,0.3,0.8,1.0,0.3,"Worth a call soon. Flagged for long-tenured, no visible succession plan, not enrolled in any SBA/transition program, and facade/succession grant outreach, SCORE mentorship & SBA transition planning is probably the right fit.","Papillon Restaurant is high-risk and hasn't touched a transition program yet. Get them talking to SCORE or the county SBDC now, not after they've already put up a closing sign.",,"Your site or listing hasn't been touched in a while. The city runs a free program for updated photos and a basic refresh. No cost, just say the word.","Could use some help online: new photos, an Instagram, maybe a simple site. Good fit for a student looking for service hours.",True
ChIJP_-lkpy_j4ARSRrl0yp6Gww,De Afghanan Kabob House,"37405 Fremont Boulevard, Fremont",4.2,829.0,OPERATIONAL,37.5576706,-122.0062295,AWCwydiD--FkQOO9tRnrRF-aOJ5zlCQT-Y95497PMnSHTJjgviXCjWNgOuj4cRyT2qbFG-rBKxNqendOy5X-e1kZfFHWIgU9siLzyskOg6t_EFMkjWlw6DwuaPV7-q93NaQXpeWS2m7tpps8cLKCJICEHkSlZxBaCv7n9Jw2qyANE7PSh--tsuHxZG81Ze1w5lIA6wWzXy2EOn9bxZt-hcFMxFUSo7GLD3sUOHkkDL_ycVcPKcLI8vM28kuFBzcBmyVJyiKpNuUayA-FVENyqg1yoXV3JnaoRm0TuzHASjDqp0axlZ04s2STPfE1bdrRatXwUIcAYHB0h2fb-PaTTVwNNhVJ_TQAQMv8SSG2xzkub6LOIv7KuStE7iNPp4tj2dqHb5HWocQsW1xXXpZE6HH219gaRCBtxROuR73dieEthw1XQfEanZf4wxvsJyHNDmcALLvKNoNEzbk0MwMAb53S-UPqKMO10iitGeKBu6fST2vrDLcfIb-jEOgRCi7mRm2mkxxrzQjTgeJ1KgjXTNIVfp1AIyExcdkMKBp5aAiAnDZUgFioOjho99jASnyOyzor65NEI0pn93odxD0KnrYI1wy84VvkiXqdfO399Pwh9d2SjDecdZ4d-_SuvmmSdn6fuj3vne6M,,De Afghanan Kabob House,OPERATIONAL,http://www.deafghanan.com/,False,,,32521.0,1996-07-30,2026-06-30,Restaurant,30.0,,,False,Afghan,58.2,high,0.85,0.3,0.3,0.8,1.0,0.3,"Worth a call soon. Flagged for not enrolled in any SBA/transition program, long-tenured, no visible succession plan, and SCORE mentorship & SBA transition planning, facade/succession grant outreach is probably the right fit.","De Afghanan Kabob House is high-risk and hasn't touched a transition program yet. Get them talking to SCORE or the county SBDC now, not after they've already put up a closing sign.",,"Your site or listing hasn't been touched in a while. The city runs a free program for updated photos and a basic refresh. No cost, just say the word.","Could use some help online: new photos, an Instagram, maybe a simple site. Good fit for a student looking for service hours.",True
ChIJ38kuGFy_j4AR1bs9y8kiK6I,"Massimo's Restaurant, Bar and Private Event Venue","5200 Mowry Avenue Suite M, Fremont",4.3,746.0,OPERATIONAL,37.5331547,-121.9994867,AWCwydimcWCEE0CZOyhWgTJK3A-yDNCWNKAcoqDKeNOUAcQILEldk8rWpuoZYyFrmsbZmoadTVz4A-YE4C0m4_7uEpBOjcVrRcdl2TIRXdOdUlXfsMKdeU38SCQ5l127nthaT97wgdWFwnos6_yT3q1DK-K0OPl3A-ARzmKlEFqK0BkFRcX4j8NQKl0hBSs4PJiqyf8TBkerPc8kZTL9ulBU0KjZp5Umg9bksLDxUyfnh7KsbNJd1VxcGufXb4NQHWArolgndhSx3c0QmLD4xqgf7P-9Az_wCtHkg0FUNuo9J-_J5xGnUwGN8i7esSlLxco3HZyf8L_MU7Htif6z3ZMpXSWBZyFlCBbgoxrcWW6oCrUqWv1avwXkUa-V91tnUNYUjsB5PzPdNW1T4XaluhDK1avDbOhXgFjYbamf5cPpM2qkYk3W2yCNIR_HIg3zgmA0w19smd38nj_zgMZFHZb2pSP8yAEl3t9roxKtWBw5_5sGgNGOoy6K961DX9eFTxMfmVbrbYqP3MZoixuxMVpZoqEErqFRVIXed2A45wBSgdUs2xXJxTd9PcDPhmnyrLPBNrMqO1HtjLOJxb70bprZl8aRPGD2TSWYmtLWbdanZIDpsgYqyg2f9oH5FTSiirjQVRYyi6Jz,,"Massimo's Restaurant, Bar and Private Event Venue",OPERATIONAL,http://massimos.com/,True,,,27988.0,1994-06-29,2003-12-31,Restaurant,32.08767123287672,,,False,Other / American,58.2,high,0.85,0.3,0.3,0.8,1.0,0.3,"Worth a call soon. Flagged for not enrolled in any SBA/transition program, long-tenured, no visible succession plan, and SCORE mentorship & SBA transition planning, facade/succession grant outreach is probably the right fit.","Massimo's Restaurant, Bar and Private Event Venue is high-risk and hasn't touched a transition program yet. Get them talking to SCORE or the county SBDC now, not after they've already put up a closing sign.",,"Your site or listing hasn't been touched in a while. The city runs a free program for updated photos and a basic refresh. No cost, just say the word.","Could use some help online: new photos, an Instagram, maybe a simple site. Good fit for a student looking for service hours.",True
ChIJc-b38c7Aj4ARvvYDbXD7FDw,Dina's Family Restaurant,"40800 Fremont Boulevard, Fremont",4.3,443.0,OPERATIONAL,37.5350059,-121.962395,AWCwydiIMLpCQUDHtjnu7tMYsCwJqEIGT6P1HnBliSqAkcUemwGCrLdgN-6EdWPkVHAgGVCBm8p8j74_htHft6--KzYgWCTxK54DFyUFzZxcuc3va9fKMoo51wMkNQeiYJRPD8Zpw-QlrCVNZJHFBnsmHWsAeVPx7X9V1M4p1FR3uzT6O2GgRyDP5T0kRmohCJfLeylhwTcttYxOFtDTCxxvcDhLd2GBImyExtLNAlUapOf8fcWYwUdwDe6-i1vxOaEgvVp_7WgdW66AczxRb48bSh-F1oP_E9tlxHgkS9aCDwDRzjCSnc7tpmA5OlCA8P8j-Sh29HnOPCEJKuOFFE9EqLKYOAWLrg6BmkTz5LwITwvsL2OilHe7kWlCiUhgSaHGsOAXTlzDzBPl3qlt9H0cgbgaxBR_SduGMq1PwsYvCAcNB50bidRWJCrtktsKWJxYgUEIK_f3J3AqWK1ETfBaMa3eaUJbD5sSv3jcOyXJiP217VkOd__IdUsxk_tlifgs54FYac-0ybF8jtKZfs0GNm5xsUFGZX1S5AoNM4QS8JDejWJhGK7xaIQHTSlAfbbtwowBixF3qsy8ls5m0XkeM1kQqe1eUgiaK09FKOhZNWV4T_p4cSMYnVxdMFgScEUAkuOaptEK,,Dina's Family Restaurant,OPERATIONAL,,False,,,21409.0,1991-08-05,2027-03-31,Restaurant,34.989041095890414,,,False,Other / American,58.2,high,0.85,0.3,0.3,0.8,1.0,0.3,"Worth a call soon. Flagged for not enrolled in any SBA/transition program, long-tenured, no visible succession plan, and SCORE mentorship & SBA transition planning, facade/succession grant outreach is probably the right fit.","Dina's Family Restaurant is high-risk and hasn't touched a transition program yet. Get them talking to SCORE or the county SBDC now, not after they've already put up a closing sign.",,"Your site or listing hasn't been touched in a while. The city runs a free program for updated photos and a basic refresh. No cost, just say the word.","Could use some help online: new photos, an Instagram, maybe a simple site. Good fit for a student looking for service hours.",True
ChIJX2QVzpHAj4ARH59E9lvEpMU,La Piñata Fremont,"39136 Paseo Padre Parkway, Fremont",4.0,1007.0,OPERATIONAL,37.5543687,-121.9806077,AWCwydiLRF4zk8d0wnkLggHcylOXbiKKxeK4oYGwqqM45d18n-FitP_ZZyFh7bgA9mnAg0XkqMe-a_nY3BdX45k7Kxl7lrCPXu3MVn4AN2a3_074Fde_qoH81saRzp1t7_qrkhw4Jr1Vcd4LKds5NDTVc0WniBbS3ELpWR1-KL6rWxh6G3yVTljq6Ptw7BWQF5kX7bNKuJKpWOd5fcNCkQv-ua5k4zrw0ePGWG9zAY0UJ09lNaXxr4dJ7uKI7rpYquqJgeNQRqtUL-eY1bbthPCoVAN7JoxZJPxAbivft7rVIirBfdh__PfHZbTmDLUoUPRbL-OY62HRyv2ZYWotKvpyfxtlScufM2QcUG-MrrqGJqJwjHVp2bQ8gmvJc9Yfo4jfOm4y4jwmD4Y7vKDssNCktvBmpa35uRFxuVd3V723VvotRcOnnb3RUftm9_9lUakAEQ1dW3FkeVQ7eIcafxteyDynxuxX2-M2cDQ9B3GDYerYphO7T4NNHw5yN60tSkOqyJGWcbwkP4pC4GsqhbenfB7ZKdceNYhFoVJmAcfScd70t_eIzXzKna3LCveKAN-YQQXXZtSGaUtAHeZt9Wx5TP2OZMbImMBxWyz8tTvgRLY4Phex2pxQgdN5m2xxcocu0SF3Ic5C,,La Piñata Fremont,OPERATIONAL,https://www.lapinatarestaurants.com/fremont,False,,,32164.0,1996-05-31,2004-06-30,Restaurant,30.164383561643834,,,False,Other / American,58.2,high,0.85,0.3,0.3,0.8,1.0,0.3,"Worth a call soon. Flagged for not enrolled in any SBA/transition program, long-tenured, no visible succession plan, and SCORE mentorship & SBA transition planning, facade/succession grant outreach is probably the right fit.","La Piñata Fremont is high-risk and hasn't touched a transition program yet. Get them talking to SCORE or the county SBDC now, not after they've already put up a closing sign.",,"Your site or listing hasn't been touched in a while. The city runs a free program for updated photos and a basic refresh. No cost, just say the word.","Could use some help online: new photos, an Instagram, maybe a simple site. Good fit for a student looking for service hours.",True
ChIJfV1JVZe_j4ARA3CBj-60ZVk,Pizza Guys,"3691 Thornton Avenue, Fremont",4.2,205.0,OPERATIONAL,37.5625415,-122.0100569,AWCwydgSc21vSSFDHlnaXXPes_PxO7MiMz5Re3cj0iG5DLakBUDRA_0fQR_KBrOyb6oMj3KYvJ12650n_pxZSHspKfcaNWTpliZfI7K10lQ1U8C_D7rJv5QCOwDaf_F3uOVy9UNdTxxceSmEllTcrW6Yf33diibmDSATslGpdzk22rlG-YWknbVeCliwX5Hcyk-cUHSBi9faBKXSW6FL_f5RU2iFbzeOaD4JWLR33Igw5ogn1XAWqrJLOGFwkQf30NS9VdzdDL80e6-3RiQbTuz9BgkF2TT4pV9iYy_PCmASrkm5YuujgrytDiz1NiXCqPjGSBphyUyAQnfdP23cM8mItRP0oPpBozZIhFpTyccBr8ZDrIQj5C_F6TJWYq69fuS4vjRLSLFNCKNu4l4qjHxe7loMMg-yFu-QmktYCrkr96HES8NW4NuQ7OatjCw7xLHMjnoaDp-etzVT-DJ9AUDH1EDQbrswzLj6S_SQ8OzJG0xyVmbMCSNAnezZVP-GbAhnrOtTlxLjBBfqhfXLOojun2UzDJRHnXqL8zutF2Ma7hIaGdi9zrpgvZhUFzHiK7CdmLajgRUYyJTnI9GXC5MvvFwOwKgTweQL5CTliC7usfJcSDdTc7LX-AR7IRn_kcZZ8WUtsg,,Pizza Guys,OPERATIONAL,http://140.pizzaguys.com/,False,,,37334.0,1998-10-14,2009-09-30,Restaurant,27.791780821917808,,,False,Other / American,54.5,high,0.7,0.3,0.3,0.8,1.0,0.3,"Worth a call soon. Flagged for not enrolled in any SBA/transition program, stale or missing digital presence, and SCORE mentorship & SBA transition planning, digital modernization support is probably the right fit.","Pizza Guys is high-risk and hasn't touched a transition program yet. Get them talking to SCORE or the county SBDC now, not after they've already put up a closing sign.",,"Your site or listing hasn't been touched in a while. The city runs a free program for updated photos and a basic refresh. No cost, just say the word.","Could use some help online: new photos, an Instagram, maybe a simple site. Good fit for a student looking for service hours.",True
ChIJvVniW1y_j4ARFBZMZgKIJTg,Country Way,"5325 Mowry Avenue, Fremont",4.5,3207.0,OPERATIONAL,37.5329972,-122.0016333,AWCwydjysEgJScjh0Pgo5Eft04NE5VxyYfoUB7-chfJJuDb9AGTJBrOdweH-GHhrnMAu51f5QGOqyVxawoLm4SZoMUzgC1Qz87hG_QD-cM8LhasqBaoRITdNBfGbsGV_isdpSgRU28Bz9aEefMDIGVcldQCBMrhGOOklUPNr3f1RAXhF-SD5P79rqx6sJfbrCr2sbAwo5mSpS-z8xTtEg3FJKpbV2YUe8rJrStpv2OZ0TIvC5i02gJnBZLPRahEknjzTZLsdqeizSyZ4R9c-2-UiYAJtqO7NqrUCUFVoVk34fwlZRGnXugMI9tPs4fH6Dn_gRSKxkOk1zoSWMgNZxzxTc4vfwsTje-SY3utMGdeJ_hhKIJBw3vNuARGprJbqI9AiWakLrlbd5YP4wi9ACknPxmVTBD-eD5p8I-1P-wOj97WKqCW8SHBcOwy9W1sqVzuGW_ch7kpEWEBvgAjyeOFOITiR_WD5NRBVoMYSvC--mQ1tgWaXu-a_1Ikd14BSCcc8cWfpqK2ZqLylsVwcbn0Z6UleqHptTrKRQAAoRSGwfwR85e3NKeBI0Lh5vDCVXfcOqx2GFfHgIYTOjmSxt1tZszISD52N8ZBfh6zln9ID00MtZaTtYQYvzw8qsW61-zFm,,Country Way,OPERATIONAL,https://countrywayfremont.net/,True,2026-07-23T19:30:02+00:00,0.0,3030.0,1985-06-25,2026-12-31,Restaurant,41.10410958904109,,,False,Other / American,50.8,high,1.0,0.3,0.3,0.05,1.0,0.3,"Worth a call soon. Flagged for long-tenured, no visible succession plan, not enrolled in any SBA/transition program, and facade/succession grant outreach, SCORE mentorship & SBA transition planning is probably the right fit.","Country Way is high-risk and hasn't touched a transition program yet. Get them talking to SCORE or the county SBDC now, not after they've already put up a closing sign.",,,,False
ChIJt5ZpeM7Aj4AReEwEifKYvW0,"Mirchi Cafe, Halal American & Desi Restaurant Fremont","40900 Fremont Boulevard, Fremont",4.4,1182.0,OPERATIONAL,37.5345981,-121.9605238,AWCwydhLHVhW7qmlUqw8x_NZYTQOmGP1dZVJL3OjoRFMaQJfiCgFxDiQAYs15sTWk10TCu_Tq5_K5OL8hO2YmE6V8YIZHomZbAugDVibziCyYrdhSPRF4oou6Gw_zV1cJ9B0j8iZArA9VkLh5yLF294p9B0TrhuZ5TDjdETRc2rxNALvb0K-EexBV3h20B2qAdzEVNdWhIlR_ddrgSF6znlCNE90fJDXV52MZf7oKaJ8NxQjmo38bxEEkRpQUf2AEWbceMCvgJXd7ogxcvEliDbYF2aUdV8H6iYpNScqxOXJebUWqHFxf_jDIXJCJ82glWjF7Ad_bie2vwWEsYXC5vkqI1fRwLfeC_H70IXk2CVRvXuP3Un5aW6H_KORSPI_6sm3qOk5ryfqBUD47VRFgI5r_HZNj8orW0z3aoPFMtJ7qoHDIFdwmIdVgN2msMKCTVIpkTZ8Wku4rBu0uxOfRI6fmPjcwJ2wJOjkK2_s8upMH1RP2wQuYwlJm-NycLTFSpxO6eVysJw3J01wsDsqgt8HT8Ixw12ed96q9J4_h_QsfpOZk-RNywQXCMozizcQIiNVO5oiaOWWI9_j96iITpdyqoN0QbGBmXCNbpX7N2pomF-AcpVH6e8EOOjDrBlBMNZqbpmO9v22,1401.0,"Mirchi Cafe, Halal American & Desi Restaurant Fremont",OPERATIONAL,https://mirchicafe.com/mirchicafehalalamericandesirestaurantfremont-ncr4tv?utm_source=google,False,,,,,,,,,,False,South Asian,50.5,high,0.3,0.3,0.6,0.8,1.0,0.3,"Worth a call soon. Flagged for not enrolled in any SBA/transition program, stale or missing digital presence, and SCORE mentorship & SBA transition planning, digital modernization support is probably the right fit.","Mirchi Cafe, Halal American & Desi Restaurant Fremont is high-risk and hasn't touched a transition program yet. Get them talking to SCORE or the county SBDC now, not after they've already put up a closing sign.",,"Your site or listing hasn't been touched in a while. The city runs a free program for updated photos and a basic refresh. No cost, just say the word.","Could use some help online: new photos, an Instagram, maybe a simple site. Good fit for a student looking for service hours.",True
ChIJy17_9Fy_j4ARboo4_yljPOY,Chaat Bhavan Fremont,"5355 Mowry Avenue, Fremont",4.0,3177.0,OPERATIONAL,37.5327099,-122.0020109,AWCwydjDxquSpfROLP_6Kaf1ygOTRvhb1DlKzIahA6oXi1witoqIxDMZuyuDwD4tIcZvseqnkGQbU3QiQ1HNVr8ex-VTerUjD8KdGOU3hrHNxzVybI-4Bd6yWJ22BJ9Y2mrqeOqONatwhYtWRSK4Qh6zbt5ltvZEH-rdpCl1Hu6b3fESlARrUaI_VWaKUUYYp9qByrCyYKOKiz9uUaBUSuM6hnk7xzDjE_G5Nmn9cOrCo9OvomR2npnJhwoDJOW2WtOPGz06__4UZfLtLt-znDnwVFwjtjGMShCtD1ucDOCFMyDcUha6fdMP9njNX7zvrYmCsFaQ6dFLr8YFq71QYSlJi9mvF4885HZdIUJoZ6RVM1NZZsDpfQMpeNTBwLchnda-M-bObiw1DpXYi48ygy84qkSX5kwSKuOS7z2S1E2FdgBVKbn81I1UwJElJM30HoAaOZb0OUUH_lW9qjpJBq6o30iRCNfHHR_50aQ9JN2qTMFutoFzL_84BNuIQ11gKJyu53_KkDfFAjEobFMzNp4ufxifHhoeH0onD-Xcrg5dM0sV6NHnTul17et0kVbjFxVIt38WHZtk1MtAeQ2YWBP4RJxUhOh_3bCGYImcNLS17J6-Xw8nmPgUcJ37Oi9FZQqy_mGpGA,3875.0,Chaat Bhavan Fremont,OPERATIONAL,https://www.chaatbhavan.com/,True,,,65146.0,2008-12-30,2026-12-31,Restaurant,17.572602739726026,,,False,South Asian,50.5,high,0.3,0.3,0.6,0.8,1.0,0.3,"Worth a call soon. Flagged for not enrolled in any SBA/transition program, stale or missing digital presence, and SCORE mentorship & SBA transition planning, digital modernization support is probably the right fit.","Chaat Bhavan Fremont is high-risk and hasn't touched a transition program yet. Get them talking to SCORE or the county SBDC now, not after they've already put up a closing sign.",,"Your site or listing hasn't been touched in a while. The city runs a free program for updated photos and a basic refresh. No cost, just say the word.","Could use some help online: new photos, an Instagram, maybe a simple site. Good fit for a student looking for service hours.",True
